Urgent*http* call  from Landline*http* Your complimentary * Tenerife Holiday or *pfund* cash await collection SAE T*http*Cs BOX  HP YF ppm *plus*,spam
*plus* URGENT*http* This is the nd attempt to contact U*http*U have WON *pfund* CALL  b  T*http*CsBCMWCNXX*http* callcost ppm mobilesvary*http* max*pfund**http* ,spam
FREE for st week*http* No Nokia tone  ur mob every week just txt NOKIA to  Get txting and tell ur mates www*http*getzed*http*co*http*uk POBox  WWQ normp*smiley*tone *plus*,spam
Urgent*http* call  from landline*http* Your complementary * Tenerife Holiday or *pfund* cash await collection SAE T*http*Cs PO Box  WA PX ppm *plus* Sender: Hol Offer,spam
WINNER*http**http* As a valued network customer you have been selected to receivea *pfund* prize reward*http* To claim call *http* Claim code KL*http* Valid  hours only*http*,spam
okmail: Dear Dave this is your final notice to collect your * Tenerife Holiday or  CASH award*http* Call  from landline*http* TCs SAE Box CWWX ppm,spam
 *http* Rodger Burns *http* MSG *http* We tried to call you re your reply to our sms for a free nokia mobile *plus* free camcorder*http* Please call now  for delivery tomorrow,spam
*http*URGENT*http* This is the nd attempt to contact U*http*U have WON *pfund*CALL  b t*http*csBCMWCNXX*http*callcostppmmobilesvary*http* max*pfund**http* *http*,spam
Congrats*http* Nokia  video camera phone is your Call  Calls cost ppm Ave call mins vary from mobiles *plus* Close  post BCM Ldn WCNXX,spam
Urgent*http* Please call *http* Your ABTA complimentary * Spanish Holiday or *pfund* cash await collection SAE T*http*Cs BOX  PO EZ ppm *plus*,spam
Congrats  mobile G Videophones R yours*http* call  now*http* videochat wid ur mates play java games Dload polypH music noline rentl*http* bx*http* ip*http* we*http* p,spam
Dear xxxxxxx U've been invited to XCHAT*http* This is our final attempt to contact u*http* Txt CHAT to  p*smiley*MsgrcvdHG*smiley*Suite*smiley*Lands*smiley*Row*smiley*WJHL LDN yrs,spam
Win the newest “Harry Potter and the Order of the Phoenix (Book ) reply HARRY answer  questions *http* chance to be the first among readers*http*,spam
SMS AUCTION *http* A BRAND NEW Nokia  is up  auction today*http* Auction is FREE  join *http* take part*http* Txt NOKIA to  now*http*,spam
 URGENT*http* Your mobile No xxxxxxxxx won a *pfund* bonus caller prize on *smiley**smiley**http* this is the nd attempt to reach YOU*http* call  ASAP*http*,spam
Dear U've been invited to XCHAT*http* This is our final attempt to contact u*http* Txt CHAT to ,spam
 You have won a *pfund* price*http* To claim call *http*,spam
YOU ARE CHOSEN TO RECEIVE A *pfund* AWARD*http* Pls call claim number  to collect your award which you are selected to receive as a valued mobile customer*http*,spam
  Do you want a New Nokia i colour phone DeliveredTomorrow*smiley* With  free minutes to any mobile *plus*  free texts *plus* Free Camcorder reply or call *http*,spam
URGENT*http* Your mobile was awarded a *pfund* Bonus Caller Prize on *smiley**smiley**http* Our final attempt  contact U*http* Call ,spam
Congrats*http*  mobile G Videophones R yours*http* call  now*http* videochat wid your mates play java games Dload polyPH music noline rentl*http*,spam
Wan win a Meet*plus*Greet with Westlife  U or a m*smiley* They are currently on what tour*smiley* )Unbreakable )Untamed )Unkempt*http* Text  or  to *http* Cost p *plus*std text,spam
URGENT This is our nd attempt to contact U*http* Your *pfund* prize from YESTERDAY is still awaiting collection*http* To claim CALL NOW ,spam
Want explicit SEX in  secs*smiley* Ring  now*http* Costs p*smiley*min,spam
Sorry I missed your call let's talk when you have the time*http* I'm on ,spam
Congratulations YOU'VE Won*http* You're a Winner in our August *pfund* Prize Draw*http* Call  NOW*http* Prize Code *http*,spam
Fantasy Football is back on your TV*http* Go to Sky Gamestar on Sky Active and play *pfund*k Dream Team*http* Scoring starts on Saturday so register now*http*SKY OPT OUT to ,spam
: Kick off a new season with wks FREE goals *http* news to ur mobile*http* Txt ur club name to  eg VILLA to ,spam
This is the nd attempt to contract U you have won this weeks top prize of either *pfund* cash or *pfund* prize*http* Just call ,spam
You have won *smiley* cash or a *smiley* prize*http* To claim call,spam
Talk sexy*http**http* Make new friends or fall in love in the worlds most discreet text dating service*http* Just text VIP to  and see who you could meet*http*,spam
Todays Vodafone numbers ending with  are selected to a receive a *pfund* award*http* If your number matches call  to receive your *pfund* award*http*,spam
GENT*http* We are trying to contact you*http* Last weekends draw shows that you won a *pfund* prize GUARANTEED*http* Call *http* Claim Code K*http* Valid hrs only*http* ppm ,spam
Camera *http* You are awarded a SiPix Digital Camera*http* call  fromm landline*http* Delivery within  days*http*,spam
YOU VE WON*http* Your * Costa Del Sol Holiday or *pfund* await collection*http* Call  Now toClaim*http* SAE TC s POBox Stockport SKxh Cost*pfund**http**smiley*pm Maxmins,spam
WELL DONE*http* Your * Costa Del Sol Holiday or *pfund* await collection*http* Call  Now toClaim*http* SAE TCs POBox Stockport SKxh Cost*pfund**http**smiley*pm Maxmins,spam
Camera *http* You are awarded a SiPix Digital Camera*http* call  fromm landline*http* Delivery within  days,spam
Congratulations ur awarded  of CD vouchers or gift guaranteed *http* Free entry   wkly draw txt MUSIC to ,spam
Loan for any purpose *pfund* *http* *pfund**http* Homeowners *plus* Tenants welcome*http* Have you been previously refused*smiley* We can still help*http* Call Free   or text back 'help',spam
This is the nd time we have tried  contact u*http* U have won the *pfund* Pound prize*http*  claim is easy call  NOW*http* Only p per minute*http* BT*http*national*http*rate*http*,spam
Congrats*http*  year special cinema pass for  is yours*http* call  now*http* C Suprman V Matrix StarWars etc all  FREE*http* bx*http*ip*http*we*http* pm*http* Dont miss out*http*,spam
Message Important information for O user*http* Today is your lucky day*http*  find out why log onto http:*smiley**smiley*www*http*urawinner*http*com there is a fantastic surprise awaiting you,spam
Had your mobile  months or more*smiley* U R entitled to Update to the latest colour mobiles with camera for Free*http* Call The Mobile Update Co FREE on ,spam
Bloomberg *http*Message center *plus* Why wait*smiley* Apply for your future http:*smiley**smiley*careers*http* bloomberg*http*com,spam
Sppok up ur mob with a Halloween collection of nokia logo*http*pic message plus a FREE eerie tone txt CARD SPOOK to ,spam
p  alfie Moon's Children in need song on ur mob*http* Tell ur ms*http* Txt Tone charity to  for Nokias or Poly charity for polys: zed  profit  charity*http*,spam
URGENT*http*: Your Mobile No*http* was awarded a *pfund* Bonus Caller Prize on *smiley**smiley**http* This is our nd attempt to contact YOU*http* Call *http**http* BOXQU,spam
Phony *pfund* award *http* Todays Voda numbers ending XXXX are selected to receive a *pfund* award*http* If you have a match please call  quoting claim code  standard rates app,spam
